bundle_path	source_path	bytes	sha256	status	reason
results/100strains_30x/comparative_ambiguity9999.tsv	/home/work/wenhai/dadec/benchmark/results/100strains_30x/comparative_ambiguity9999.tsv	1036	b83cb9a4243f9f979e5c88316b18f39e857497f24ad2a7cb3d8ed66c141d8235	included	compact final report, aggregate, metric, status, or provenance
results/100strains_30x/comparative_selected_runs.tsv	/home/work/wenhai/dadec/benchmark/results/100strains_30x/comparative_selected_runs.tsv	1845	9f7d925c73a03397fd10e3dbd9819590ca544e2d9e443c5c521466f4a9738b17	included	compact final report, aggregate, metric, status, or provenance
results/100strains_30x/run_manifest.tsv	/home/work/wenhai/dadec/benchmark/results/100strains_30x/run_manifest.tsv	2808	7f02526a5bf3ec9c76bd07f4b98c369e7771d3f350d5ade607f8274f5e3063a1	included	compact final report, aggregate, metric, status, or provenance
results/100strains_30x/table_ambiguity9999.tsv	/home/work/wenhai/dadec/benchmark/results/100strains_30x/table_ambiguity9999.tsv	528	73bc55b96817127d1f96228a4155188fbf0c1f278d92a305278b1656dbd67ac3	included	compact final report, aggregate, metric, status, or provenance
results/100strains_legacy_30x/comparative_ambiguity9999_metrics_only.tsv	/home/work/wenhai/dadec/benchmark/results/100strains_legacy_30x/comparative_ambiguity9999_metrics_only.tsv	1380	a6ae79a455903e92f7167891aa414576ad1c14bfc16964dc5dc50bd1531f63c6	included	compact final report, aggregate, metric, status, or provenance
results/100strains_legacy_30x/run_manifest.tsv	/home/work/wenhai/dadec/benchmark/results/100strains_legacy_30x/run_manifest.tsv	3809	dc1a7e9308266a7d93308dc62bae6b2e2971772bcb64f9d33c1bb9879e10245e	included	compact final report, aggregate, metric, status, or provenance
results/100strains_legacy_30x/table_ambiguity9999_metrics_only.tsv	/home/work/wenhai/dadec/benchmark/results/100strains_legacy_30x/table_ambiguity9999_metrics_only.tsv	702	5b53164b79dbc0b5225bc24fc6f062e82005c2d6f5585d48d208b70c15afaf06	included	compact final report, aggregate, metric, status, or provenance
results/30strains_30x/30strains_30x_dadec_ablation_k31_k31_s1_a2_a1_t0p08_dev_fix_a_ambiguity9999.tsv	/home/work/wenhai/dadec/benchmark/results/30strains_30x/30strains_30x_dadec_ablation_k31_k31_s1_a2_a1_t0p08_dev_fix_a_ambiguity9999.tsv	842	1f4d123fdacb1a0a4d43f195c3639d116974011e8bb91e7b1cf2a35afa044ee6	included	compact final report, aggregate, metric, status, or provenance
results/30strains_30x/comparative_ambiguity9999.tsv	/home/work/wenhai/dadec/benchmark/results/30strains_30x/comparative_ambiguity9999.tsv	1424	a8fe57779adeb675f9027c2109dbb70ace82eb30c4ecec260e5f7a6705097371	included	compact final report, aggregate, metric, status, or provenance
results/30strains_30x/comparative_selected_runs.tsv	/home/work/wenhai/dadec/benchmark/results/30strains_30x/comparative_selected_runs.tsv	2615	4f08b9d4df92479ffc00fc7526b0aa720f7bc5c4d46180f2f784a919e5ab2382	included	compact final report, aggregate, metric, status, or provenance
results/30strains_30x/run_manifest.tsv	/home/work/wenhai/dadec/benchmark/results/30strains_30x/run_manifest.tsv	4200	82438c01e59df88f9a940f5c3aaf9d9a898a786e40c60503da0b4a729d205b8b	included	compact final report, aggregate, metric, status, or provenance
